run, num test cases, time
1, 851, 3.83
2, 2918,9.74
3, 680, 3.09
4, 326, 1.97
5, 1991, 6.85
6, 1949, 6.91
7, 1712, 5.93
8, 1261,4.92
9, 2381,7.69
10, 1718,6.28
