run, num test cases, time
1,820 , 2.80
2,378 ,1.95
3,2411 , 6.76
4,2422 , 7.09
5,1626 , 5.02
6,229 , 1.51
7,3622 , 9.29
8,1179 , 3.71
9,1249 , 3.52
10,1468 , 4.20
